vertex_number,arista_number,p_value,is_giant,greatest_component,computation_time
188,14941,0.85,1,188,0.021428
188,15820,0.9,1,188,0.022735
188,16699,0.95,1,187,0.024636
188,0,0,0,1,0.000491
188,878,0.05,1,122,0.00196
188,1757,0.1,1,153,0.003185
188,2636,0.15,1,163,0.004412
188,3515,0.2,1,177,0.00565
188,4394,0.25,1,182,0.006471
188,5273,0.3,1,176,0.007842
188,6152,0.35,1,186,0.009259
188,7031,0.4,1,188,0.009784
188,7910,0.45,1,186,0.011307
188,8789,0.5,1,186,0.013418
188,9667,0.55,1,188,0.013389
188,10546,0.6,1,184,0.014945
188,11425,0.65,1,188,0.017366
188,12304,0.7,1,185,0.017026
188,13183,0.75,1,188,0.018881
188,14062,0.8,1,188,0.019891
188,14941,0.85,1,188,0.02269
188,15820,0.9,1,188,0.023028
188,16699,0.95,1,188,0.024298
188,0,0,0,1,0.00049
188,878,0.05,1,106,0.002
188,1757,0.1,1,143,0.003265
188,2636,0.15,1,157,0.004845
188,3515,0.2,1,182,0.00529
188,4394,0.25,1,182,0.00643
188,5273,0.3,1,179,0.007607
188,6152,0.35,1,186,0.008673
188,7031,0.4,1,183,0.010093
188,7910,0.45,1,185,0.011392
188,8789,0.5,1,185,0.01273
188,9667,0.55,1,186,0.014081
188,10546,0.6,1,188,0.014474
188,11425,0.65,1,186,0.017353
188,12304,0.7,1,188,0.017062
188,13183,0.75,1,188,0.020247
188,14062,0.8,1,187,0.021783
188,14941,0.85,1,187,0.021428
188,15820,0.9,1,188,0.022894
188,16699,0.95,1,188,0.024505
188,0,0,0,1,0.000491
188,878,0.05,1,106,0.002007
188,1757,0.1,1,147,0.003325
188,2636,0.15,1,165,0.00433
188,3515,0.2,1,167,0.006105
188,4394,0.25,1,179,0.007258
188,5273,0.3,1,188,0.0073
188,6152,0.35,1,188,0.008863
188,7031,0.4,1,183,0.010149
188,7910,0.45,1,182,0.011434
188,8789,0.5,1,183,0.01301
188,9667,0.55,1,187,0.013607
188,10546,0.6,1,188,0.015918
188,11425,0.65,1,185,0.01624
188,12304,0.7,1,186,0.017094
188,13183,0.75,1,188,0.018841
188,14062,0.8,1,188,0.02048
188,14941,0.85,1,188,0.02205
188,15820,0.9,1,188,0.023042
188,16699,0.95,1,188,0.024426
188,0,0,0,1,0.000491
188,878,0.05,1,108,0.001992
188,1757,0.1,1,137,0.003217
188,2636,0.15,1,165,0.004616
188,3515,0.2,1,173,0.005562
188,4394,0.25,1,166,0.007061
188,5273,0.3,1,180,0.007993
188,6152,0.35,1,183,0.009347
188,7031,0.4,1,184,0.010571
188,7910,0.45,1,187,0.011643
188,8789,0.5,1,186,0.012975
188,9667,0.55,1,188,0.013494
188,10546,0.6,1,188,0.015825
188,11425,0.65,1,187,0.017359
188,12304,0.7,1,188,0.018869
188,13183,0.75,1,188,0.018631
188,14062,0.8,1,188,0.01991
188,14941,0.85,1,188,0.021661
188,15820,0.9,1,188,0.023212
188,16699,0.95,1,187,0.024525
