vertex_number,arista_number,p_value,és_connex,n_connexions,
11,27,0.5,1,1
11,30,0.55,1,1
11,33,0.6,0,2
11,35,0.65,1,1
11,38,0.7,0,2
11,41,0.75,1,1
11,44,0.8,1,1
11,46,0.85,0,2
11,49,0.9,1,1
11,52,0.95,1,1
11,0,0,0,11
11,2,0.05,0,9
11,5,0.1,0,8
11,8,0.15,0,5
11,11,0.2,0,6
11,13,0.25,0,5
11,16,0.3,0,3
11,19,0.35,0,3
11,22,0.4,0,2
11,24,0.45,1,1
11,27,0.5,1,1
11,30,0.55,0,3
11,33,0.6,0,2
11,35,0.65,1,1
11,38,0.7,1,1
11,41,0.75,0,2
11,44,0.8,1,1
11,46,0.85,1,1
11,49,0.9,1,1
11,52,0.95,1,1
11,0,0,0,11
11,2,0.05,0,9
11,5,0.1,0,6
11,8,0.15,0,6
11,11,0.2,0,3
11,13,0.25,0,4
11,16,0.3,0,5
11,19,0.35,0,2
11,22,0.4,0,2
11,24,0.45,0,3
11,27,0.5,0,2
11,30,0.55,0,2
11,33,0.6,1,1
11,35,0.65,0,2
11,38,0.7,0,2
11,41,0.75,1,1
11,44,0.8,1,1
11,46,0.85,1,1
11,49,0.9,1,1
11,52,0.95,1,1
11,0,0,0,11
11,2,0.05,0,10
11,5,0.1,0,6
11,8,0.15,0,5
11,11,0.2,0,6
11,13,0.25,0,5
11,16,0.3,0,5
11,19,0.35,0,3
11,22,0.4,0,3
11,24,0.45,0,2
11,27,0.5,1,1
11,30,0.55,0,3
11,33,0.6,1,1
11,35,0.65,1,1
11,38,0.7,1,1
11,41,0.75,0,2
11,44,0.8,1,1
11,46,0.85,0,2
11,49,0.9,1,1
11,52,0.95,1,1
62,0,0,0,62
62,94,0.05,0,14
62,189,0.1,0,16
62,283,0.15,0,7
62,378,0.2,0,6
62,472,0.25,0,6
62,567,0.3,0,3
62,661,0.35,0,2
62,756,0.4,0,2
62,850,0.45,0,3
62,945,0.5,0,3
62,1040,0.55,0,2
62,1134,0.6,1,1
62,1229,0.65,1,1
62,1323,0.7,0,2
62,1418,0.75,1,1
62,1512,0.8,1,1
62,1607,0.85,1,1
62,1701,0.9,0,2
62,1796,0.95,1,1
62,0,0,0,62
62,94,0.05,0,18
62,189,0.1,0,9
62,283,0.15,0,7
62,378,0.2,0,5
62,472,0.25,0,5
62,567,0.3,0,4
62,661,0.35,0,3
62,756,0.4,0,3
62,850,0.45,0,2
62,945,0.5,0,3
62,1040,0.55,0,2
62,1134,0.6,0,2
62,1229,0.65,1,1
62,1323,0.7,0,3
62,1418,0.75,1,1
62,1512,0.8,1,1
62,1607,0.85,1,1
62,1701,0.9,0,2
62,1796,0.95,1,1
62,0,0,0,62
62,94,0.05,0,20
62,189,0.1,0,9
62,283,0.15,0,4
62,378,0.2,0,5
62,472,0.25,0,5
62,567,0.3,0,3
62,661,0.35,0,4
62,756,0.4,0,3
62,850,0.45,0,2
62,945,0.5,1,1
62,1040,0.55,0,2
62,1134,0.6,0,2
62,1229,0.65,0,3
62,1323,0.7,0,2
62,1418,0.75,0,2
62,1512,0.8,1,1
62,1607,0.85,1,1
62,1701,0.9,1,1
62,1796,0.95,1,1
62,0,0,0,62
62,94,0.05,0,17
62,189,0.1,0,9
62,283,0.15,0,5
62,378,0.2,0,5
62,472,0.25,0,6
62,567,0.3,0,4
62,661,0.35,0,3
62,756,0.4,0,3
62,850,0.45,0,3
62,945,0.5,0,3
62,1040,0.55,0,3
62,1134,0.6,0,2
62,1229,0.65,1,1
62,1323,0.7,1,1
62,1418,0.75,1,1
62,1512,0.8,1,1
62,1607,0.85,1,1
62,1701,0.9,1,1
62,1796,0.95,1,1
62,0,0,0,62
62,94,0.05,0,20
62,189,0.1,0,9
62,283,0.15,0,6
62,378,0.2,0,5
62,472,0.25,0,4
62,567,0.3,0,2
62,661,0.35,0,5
62,756,0.4,0,3
62,850,0.45,0,2
62,945,0.5,1,1
62,1040,0.55,0,2
62,1134,0.6,0,2
62,1229,0.65,1,1
62,1323,0.7,1,1
62,1418,0.75,1,1
62,1512,0.8,0,2
62,1607,0.85,1,1
62,1701,0.9,1,1
62,1796,0.95,1,1
